0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:39:32 -0500] "GET /SilkRoad/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:39:33 -0500] "GET /SilkRoad/css/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:39:33 -0500] "GET /SilkRoad/js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:39:33 -0500] "GET /SilkRoad/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:39:33 -0500] "GET /SilkRoad/images/indexBg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:39:38 -0500] "POST /SilkRoad/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:39:38 -0500] "GET /SilkRoad/CustomerInformation.jsp HTTP/1.1" 200 2984
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:39:38 -0500] "GET /SilkRoad/js/jquery.dataTables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:39:38 -0500] "GET /SilkRoad/css/responsive.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:39:38 -0500] "GET /SilkRoad/css/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:43:13 -0500] "GET /SilkRoad/CustomerInformation.jsp HTTP/1.1" 200 5535
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:43:13 -0500] "GET /SilkRoad/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:43:13 -0500] "GET /SilkRoad/css/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:43:13 -0500] "GET /SilkRoad/js/pattern.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:43:13 -0500] "GET /SilkRoad/js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:43:13 -0500] "GET /SilkRoad/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:43:13 -0500] "GET /SilkRoad/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:43:13 -0500] "GET /SilkRoad/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:43:13 -0500] "GET /SilkRoad/css/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:43:13 -0500] "GET /SilkRoad/css/responsive.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:43:13 -0500] "GET /SilkRoad/js/jquery.dataTables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:43:13 -0500] "GET /SilkRoad/images/indexBg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:45:08 -0500] "GET /SilkRoad/CustomerInformation.jsp HTTP/1.1" 200 5244
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:45:08 -0500] "GET /SilkRoad/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:45:08 -0500] "GET /SilkRoad/css/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:45:08 -0500] "GET /SilkRoad/css/responsive.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:45:08 -0500] "GET /SilkRoad/css/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:45:08 -0500] "GET /SilkRoad/js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:45:08 -0500] "GET /SilkRoad/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:45:08 -0500] "GET /SilkRoad/js/jquery.dataTables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:45:08 -0500] "GET /SilkRoad/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:45:08 -0500] "GET /SilkRoad/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:45:08 -0500] "GET /SilkRoad/js/pattern.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:45:08 -0500] "GET /SilkRoad/images/indexBg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:45:20 -0500] "GET /SilkRoad/CustomerInformation.jsp HTTP/1.1" 200 5245
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:45:20 -0500] "GET /SilkRoad/css/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:45:20 -0500] "GET /SilkRoad/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:45:20 -0500] "GET /SilkRoad/css/responsive.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:45:20 -0500] "GET /SilkRoad/css/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:45:20 -0500] "GET /SilkRoad/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:45:20 -0500] "GET /SilkRoad/js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:14:45:20 -0500] "GET /SilkRoad/js/jquery.validate.js HTTP/1.1" 304 -
